"","parameterset","imputation","method","parameter","value"
"1","parameterset_00000001","mean","kmeans","n_clusters","2"
"2","parameterset_00000002","mean","kmeans","n_clusters","3"
"3","parameterset_00000005","mean","dbscan","eps","0.5"
"4","parameterset_00000005","mean","dbscan","minPts","2"
"5","parameterset_00000006","mean","dbscan","eps","0.5"
"6","parameterset_00000006","mean","dbscan","minPts","3"
"7","parameterset_00000007","mean","dbscan","eps","0.75"
"8","parameterset_00000007","mean","dbscan","minPts","2"
"9","parameterset_00000008","mean","dbscan","eps","0.75"
"10","parameterset_00000008","mean","dbscan","minPts","3"
"11","parameterset_00000009","median","kmeans","n_clusters","2"
"12","parameterset_00000010","median","kmeans","n_clusters","3"
"13","parameterset_00000013","median","dbscan","eps","0.5"
"14","parameterset_00000013","median","dbscan","minPts","2"
"15","parameterset_00000014","median","dbscan","eps","0.5"
"16","parameterset_00000014","median","dbscan","minPts","3"
"17","parameterset_00000015","median","dbscan","eps","0.75"
"18","parameterset_00000015","median","dbscan","minPts","2"
"19","parameterset_00000016","median","dbscan","eps","0.75"
"20","parameterset_00000016","median","dbscan","minPts","3"
"21","parameterset_00000041","mice","kmeans","n_clusters","2"
"22","parameterset_00000042","mice","kmeans","n_clusters","3"
"23","parameterset_00000045","mice","dbscan","eps","0.5"
"24","parameterset_00000045","mice","dbscan","minPts","2"
"25","parameterset_00000046","mice","dbscan","eps","0.5"
"26","parameterset_00000046","mice","dbscan","minPts","3"
"27","parameterset_00000047","mice","dbscan","eps","0.75"
"28","parameterset_00000047","mice","dbscan","minPts","2"
"29","parameterset_00000048","mice","dbscan","eps","0.75"
"30","parameterset_00000048","mice","dbscan","minPts","3"
